10 10 80 2 50
000 000 005 *** 000 000 000 *** 000 000
*** 000 000 000 *** 000 000 000 010 ***
000 005 AAA 000 000 000 000 000 000 000
000 *** 000 000 000 000 000 000 000 ***
000 000 *** 000 000 000 *** 000 000 000
*** 000 000 010 *** 000 000 000 000 ***
000 000 000 000 000 000 000 000 000 000
000 000 000 *** 000 000 000 000 000 000
*** 000 000 000 000 000 *** 000 000 ***
000 000 *** 000 000 000 000 000 000 000
///
000 000 000 000 000 000 000 000 000 000
000 000 *** 000 *** 000 000 000 000 ***
000 005 AAA 000 000 000 000 000 000 000
*** 000 000 000 000 000 000 000 *** 000
000 000 000 000 *** 000 000 000 000 000
000 000 000 000 000 000 000 *** 000 000
*** 000 000 000 000 000 000 000 000 000
000 *** 000 000 000 000 000 000 000 ***
000 000 *** 000 000 000 000 000 000 000
000 000 000 000 000 000 *** 000 000 000
